monkey,sex,birthdate,weight,weighing_date,age
Abr,M,2013-05-14,12.7,2020-01-13,7.6704812505967945
Ala,M,2013-03-19,12.6,2020-01-13,7.823804042988151
Alv,M,2013-02-12,14.6,2020-01-13,7.919630788232748
Anu,M,2013-05-21,15.5,2020-01-13,7.651315901547875
Bar,M,2014-12-05,10.6,2020-01-13,6.109874256613344
Ber,F,2014-11-13,8.4,2020-01-13,6.170108210767092
Ces,M,2015-06-05,6.8,2020-01-13,5.611575181341436
Dor,F,2016-03-22,4.9,2020-01-13,4.814844242307781
Eri,M,2017-03-28,4.1,2020-01-13,3.799080742715044
Fic,F,2018-02-21,3.2,2020-01-13,2.895571430408837
Jea,F,1995-12-14,12.8,2020-01-13,25.08630772205069
Lad,F,1997-10-11,8.8,2020-01-13,23.260123748389358
Las,F,2011-04-06,9.8,2020-01-13,9.775931738970955
Nem,F,2011-01-05,9.2,2020-01-13,10.02508127660691
Ner,F,1999-01-15,11.9,2020-01-13,21.997948618167655
Ola,M,2012-02-06,16.5,2020-01-13,8.938132194832471
Olg,F,2000-08-25,9.4,2020-01-13,20.388059298058412
Oli,M,2010-11-29,15.0,2020-02-27,10.126383835865484
Pac,M,2011-07-17,13.8,2020-01-13,9.496665224258127
Pat,F,2001-08-28,9.9,2020-01-13,19.380509519486644
Uly,M,2005-01-20,16.5,2020-01-13,15.982766923813902
Wal,M,2007-05-29,17.4,2020-01-15,13.630904804810774
Wat,M,2007-10-24,15.8,2020-01-15,13.225694567776475
Wot,M,2007-06-30,16.4,2020-01-15,13.543291780587142
Yak,M,2009-11-11,18.0,2020-01-15,11.175002219542083
Yan,M,2009-04-10,16.0,2020-01-15,11.763652226044613
Yin,F,2009-07-12,9.4,2020-01-13,11.509026874394682
Yoh,F,2009-07-23,10.0,2020-01-13,11.478909897317807
