date,nem,yak,ner,yoh,nen,wot,pac,las,anu,ola,oli,ala,abr,yan,wal,alv,yin,olg,jea,pat,bar,ces,lad,ber,dor,eri,fic
2016-10-25,1024,1009,1018,984,991,1010,991,982,991,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-10-26,1032,1009,1018,1003,991,1010,982,964,991,999,1009,1001,991,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-10-27,1032,1009,1018,1003,991,1010,982,956,991,999,1017,1001,991,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-10-28,1041,1009,1018,1003,991,1010,982,956,991,999,1008,1001,991,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-10-29,1063,1009,1018,1011,991,1010,975,941,984,1008,1015,993,982,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-10-30,1063,1009,1018,1011,991,1010,983,933,984,1008,1024,984,982,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-10-31,1063,1017,1026,1020,1000,1010,983,933,984,999,1024,959,982,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-01,1063,1045,1044,1019,984,1027,982,933,967,969,1013,947,982,1016,1009,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-02,1044,1062,1044,1008,984,1027,982,933,967,978,1005,949,982,1016,1019,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-03,1044,1062,1044,999,984,1027,982,933,967,978,1014,949,982,1016,1019,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-04,1035,1069,1053,1001,984,1027,982,933,967,978,1014,949,973,1016,1019,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-05,1026,1084,1053,983,995,1027,982,933,967,970,1014,949,973,1034,1019,991,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-06,1030,1084,1058,984,1002,1037,982,933,927,966,1036,921,973,1043,1033,991,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-07,1028,1092,1058,976,1002,1037,982,943,927,956,1051,902,973,1043,1039,991,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-08,1038,1082,1067,963,1002,1037,982,922,929,956,1048,889,973,1060,1061,991,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-09,1038,1082,1067,956,1002,1037,982,928,929,956,1047,884,973,1060,1068,991,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-10,1056,1082,1067,950,1002,1045,974,928,929,956,1029,884,973,1060,1074,991,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-11,1056,1082,1067,960,1002,1045,974,912,929,956,1029,884,973,1060,1080,991,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-12,1055,1091,1067,960,1002,1045,974,912,937,950,1021,876,973,1060,1086,991,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-13,1055,1091,1067,960,1009,1045,984,912,930,950,1003,876,973,1060,1094,991,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-14,1064,1091,1058,952,1002,1045,984,912,930,950,1019,870,973,1060,1108,991,991,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-15,1069,1106,1058,952,1002,1045,984,912,930,932,1025,864,973,1060,1113,991,991,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-16,1077,1106,1058,960,994,1045,984,906,923,924,1038,864,973,1060,1113,991,991,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-17,1082,1127,1058,954,994,1045,984,906,917,919,1044,864,973,1052,1113,991,984,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-18,1075,1157,1064,947,968,1052,996,906,911,919,1049,859,973,1052,1104,991,984,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-19,1068,1164,1064,947,961,1052,996,906,911,919,1049,859,973,1059,1104,991,984,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-20,1050,1176,1064,952,962,1052,996,906,912,920,1049,843,973,1066,1111,991,984,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-21,1051,1187,1064,952,955,1044,996,906,913,910,1059,829,973,1066,1127,991,984,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-22,1039,1197,1079,942,975,1044,986,906,913,897,1052,801,973,1090,1146,983,984,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-23,1030,1197,1079,936,975,1044,986,906,913,897,1074,801,973,1090,1146,976,984,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-24,1030,1197,1079,936,975,1044,986,906,913,897,1074,801,973,1090,1146,976,984,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-25,1016,1197,1079,944,987,1044,991,906,898,904,1077,793,973,1082,1156,976,984,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-26,1023,1197,1084,929,1003,1044,991,906,879,904,1056,806,960,1090,1156,976,1003,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-27,1027,1187,1091,924,981,1047,991,915,879,891,1061,785,960,1102,1178,976,1012,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-28,1033,1187,1099,927,985,1047,991,906,874,891,1061,786,960,1102,1178,968,1012,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-29,1038,1187,1099,921,989,1047,995,896,879,891,1073,772,960,1102,1178,968,1012,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-11-30,1038,1187,1099,921,989,1047,995,896,879,891,1073,772,960,1102,1178,968,1012,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-12-01,1030,1188,1099,902,1003,1047,1006,900,879,882,1073,771,960,1102,1185,968,1012,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-12-02,1036,1184,1107,901,1010,1047,1005,890,879,882,1078,761,946,1108,1194,968,1011,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-12-03,1078,1189,1107,902,1013,1047,987,876,898,869,1079,755,914,1120,1200,968,1005,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-12-04,1076,1190,1107,902,1013,1052,987,872,898,866,1075,749,914,1128,1209,964,1005,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-12-05,1076,1190,1107,902,1013,1052,987,872,898,866,1075,749,914,1128,1209,964,1005,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-12-06,1076,1190,1107,902,1013,1052,987,872,898,866,1075,749,914,1128,1209,964,1005,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-12-07,1076,1190,1107,902,1013,1052,987,872,898,866,1075,749,914,1128,1209,964,1005,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-12-08,1076,1190,1107,902,1013,1052,987,872,898,866,1075,749,914,1128,1209,964,1005,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-12-09,1076,1190,1107,902,1013,1052,987,881,898,857,1075,749,914,1128,1209,964,1005,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-12-10,1076,1181,1107,902,1004,1055,987,881,898,857,1069,746,914,1128,1224,964,1014,993,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-12-11,1058,1188,1107,902,1003,1063,978,881,906,855,1074,743,907,1128,1229,964,1014,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2016-12-12,1059,1189,1128,914,1008,1065,978,878,882,850,1057,738,901,1143,1241,964,1014,1000,991,1000,1000,1000,1000,1000,1000,1000,1000
2016-12-13,1067,1189,1128,924,1000,1070,989,878,874,843,1046,738,901,1143,1241,964,1014,1000,991,1000,1000,1000,1000,1000,1000,1000,1000
2016-12-14,1067,1189,1128,924,993,1070,989,878,874,843,1054,738,901,1150,1241,964,1014,992,991,1000,1000,1000,1000,1000,1000,1000,1000
