,distortion,precision,risk_aversion,date,monkey,condition,n
0,0.2,10.0,-0.5520737327083112,2020-06-25,Ola,gain,130
1,0.2,10.0,-0.5122541289396447,2020-06-26,Ola,gain,142
2,0.2,2.7274033228394723,0.4396232307005487,2020-06-27,Ola,gain,152
3,0.2,2.1227344820654057,0.514583928968618,2020-06-28,Ola,gain,160
4,0.2,2.723621317402747,0.3219821793850278,2020-06-29,Ola,gain,172
5,0.2,2.5413315218907253,0.403538839826146,2020-06-30,Ola,gain,138
6,0.2,1.5551722680390214,0.23101659346486353,2020-07-01,Ola,gain,131
7,0.2,1.6277873688594267,0.01713750073821787,2020-07-02,Ola,gain,131
8,0.2,1.7277071022465347,-0.02040901215370442,2020-07-03,Ola,gain,131
9,0.2,2.5875872142866063,0.0037146000583865757,2020-07-04,Ola,gain,132
10,0.2,1.754652871203557,0.11866444192046008,2020-07-05,Ola,gain,126
11,0.2,1.4547104835353075,0.17369984246847164,2020-07-16,Ola,gain,120
12,0.2,3.7262060798267354,-0.46968455946270016,2020-07-17,Ola,gain,116
13,0.2,10.0,0.010604328083409937,2020-07-18,Ola,gain,120
14,1.8,10.0,0.42804367161780665,2020-07-19,Ola,gain,113
15,1.8,5.6418138106539795,0.012002617517106833,2020-07-20,Ola,gain,113
16,1.8,10.0,0.4544176647265683,2020-07-21,Ola,gain,113
17,1.8,10.0,0.016171710234381503,2020-07-22,Ola,gain,101
18,1.8,10.0,0.99,2020-07-23,Ola,gain,100
19,0.2,10.0,0.99,2020-07-24,Ola,gain,88
20,1.8,10.0,0.99,2020-07-25,Ola,gain,81
21,1.8,10.0,0.99,2020-07-26,Ola,gain,80
22,1.8,6.173669337951505,0.99,2020-07-27,Ola,gain,86
23,1.8,10.0,0.99,2020-07-28,Ola,gain,92
24,1.8,10.0,0.99,2020-07-29,Ola,gain,93
25,0.2,10.0,0.99,2020-07-30,Ola,gain,93
26,0.2,10.0,0.99,2020-07-31,Ola,gain,93
27,0.2,10.0,0.6378287305318441,2020-08-01,Ola,gain,93
28,0.2,10.0,0.99,2020-08-02,Ola,gain,94
29,0.2,6.378416191394777,0.99,2020-08-03,Ola,gain,100
30,0.2,3.7137486802757733,0.99,2020-08-04,Ola,gain,107
31,1.8,4.143752814595497,0.99,2020-08-05,Ola,gain,108
32,0.4924179983778758,10.0,0.99,2020-08-07,Ola,gain,108
33,0.2,10.0,-0.4662370426365339,2020-08-08,Ola,gain,102
34,0.2,10.0,-0.13309825832617767,2020-08-09,Ola,gain,102
35,1.8,10.0,-0.440097808771423,2020-08-10,Ola,gain,106
36,1.8,10.0,0.12222892598658537,2020-08-18,Ola,gain,114
37,1.8,10.0,0.99,2020-08-19,Ola,gain,120
38,1.2265805676029469,10.0,0.99,2020-08-21,Ola,gain,114
39,0.2,10.0,0.99,2020-08-22,Ola,gain,114
40,0.9262454799197305,10.0,0.99,2020-08-23,Ola,gain,114
41,0.4949253380867855,10.0,0.99,2020-08-24,Ola,gain,114
42,0.2,10.0,0.99,2020-08-25,Ola,gain,108
43,1.3620456576187285,8.234530076655913,0.99,2020-08-26,Ola,gain,102
44,1.8,4.611715295858929,0.99,2020-08-27,Ola,gain,102
45,1.0026702327978492,3.776392970257249,0.99,2020-08-28,Ola,gain,90
46,0.46018872559199375,3.976809961850258,0.99,2020-08-29,Ola,gain,90
47,0.2,1.3348997209608193,0.99,2020-08-30,Ola,gain,87
48,0.5548955807057507,1.362071580091249,0.99,2020-08-31,Ola,gain,90
49,0.6892343037558161,1.4339149808642049,0.99,2020-09-01,Ola,gain,78
50,0.26566288459097087,1.3765469787141524,0.99,2020-09-04,Ola,gain,71
51,0.2,1.4195526098025018,0.99,2020-09-05,Ola,gain,66
52,0.2,1.4614601447043372,0.99,2020-09-06,Ola,gain,72
53,0.2,1.7760674087880357,0.99,2020-09-07,Ola,gain,72
54,0.2,2.6088114956910697,0.99,2020-09-10,Ola,gain,72
55,0.2,5.14128090521416,0.99,2020-09-11,Ola,gain,77
56,0.2,10.0,0.99,2020-09-12,Ola,gain,72
57,0.2,3.8367185628587284,0.99,2020-09-13,Ola,gain,75
58,0.2,5.7360947012951184,-0.99,2020-09-14,Ola,gain,72
59,0.2,7.128415559284576,-0.99,2020-09-17,Ola,gain,72
60,0.2,7.6945853588831215,-0.99,2020-09-18,Ola,gain,73
61,0.2,4.993440862823304,-0.99,2020-09-19,Ola,gain,77
62,0.2,6.471099884542642,-0.99,2020-09-20,Ola,gain,71
63,0.2,8.388726040648702,-0.99,2020-09-22,Ola,gain,71
64,0.2,6.362020112478703,-0.99,2020-09-23,Ola,gain,71
65,0.2,8.533450809331848,-0.99,2020-09-27,Ola,gain,68
66,0.23504419579074354,10.0,-0.8701649006610847,2020-09-28,Ola,gain,65
67,0.6330504128099195,7.689676430075608,-0.99,2020-09-30,Ola,gain,59
68,0.494069796629342,8.364724969213194,-0.99,2020-10-01,Ola,gain,65
69,1.8,5.437304788174016,-0.99,2020-10-02,Ola,gain,65
70,1.8,4.119016393435516,-0.99,2020-10-03,Ola,gain,65
71,1.8,4.473842952704813,-0.99,2020-10-05,Ola,gain,66
72,1.8,6.976574334169216,-0.99,2020-10-07,Ola,gain,65
73,1.8,5.368846712807982,-0.99,2020-10-08,Ola,gain,65
74,1.6386979906691286,8.388735834130186,-0.99,2020-10-11,Ola,gain,71
75,1.8,10.0,-0.99,2020-10-12,Ola,gain,77
76,1.8,9.688719013308937,-0.834074892160699,2020-10-14,Ola,gain,77
77,0.2,10.0,-0.9662854050732205,2020-10-16,Ola,gain,77
78,0.2,10.0,-0.747454782699222,2020-10-17,Ola,gain,71
79,0.2,4.4584445293474095,-0.5220973501296414,2020-10-18,Ola,gain,71
80,0.2,10.0,-0.684393990600461,2020-10-20,Ola,gain,70
81,0.2,2.2445227164070123,0.21430764390440402,2020-10-21,Ola,gain,64
82,0.2,1.734813136474891,0.17208972715828333,2020-10-22,Ola,gain,59
83,0.2,1.7196143386827303,0.2522273995618901,2020-10-23,Ola,gain,53
84,0.2,6.236225028933277,0.5581472769919399,2020-10-24,Ola,gain,41
85,0.2,0.8025523326500812,0.2707612870564472,2020-10-25,Ola,gain,29
0,1.052893587594985,3.4002159322584595,0.4792071599995267,2020-06-25,Ola,loss,134
1,1.1183771308341792,2.428497417948039,0.18328527871344008,2020-06-26,Ola,loss,146
2,1.0765454882556327,2.053658415012808,0.16324084592756483,2020-06-27,Ola,loss,157
3,1.177021769050053,2.8934207350102317,0.38623630611306287,2020-06-28,Ola,loss,164
4,0.8728293213194287,2.3225655718489864,0.06055255067030829,2020-06-29,Ola,loss,176
5,0.4203872458078938,1.977379002249328,-0.25682344107621957,2020-06-30,Ola,loss,143
6,0.2,2.689832392069646,-0.47630310304536244,2020-07-01,Ola,loss,132
7,0.2,1.747468368489696,-0.2884025836558428,2020-07-02,Ola,loss,132
8,0.2,2.428381906083419,-0.18357720123681256,2020-07-03,Ola,loss,131
9,0.9897659467322895,3.463172505134026,-0.9011978698490395,2020-07-04,Ola,loss,131
10,1.8,4.058650431719112,-0.34694751218907716,2020-07-05,Ola,loss,125
11,0.2,5.09046494630514,0.36958377269784526,2020-07-16,Ola,loss,119
12,0.2,10.0,0.99,2020-07-17,Ola,loss,114
13,0.2,5.376976213073113,0.6900389535018845,2020-07-18,Ola,loss,119
14,0.3150679007949908,7.518227946772691,0.99,2020-07-19,Ola,loss,113
15,1.8,9.388096282650842,0.99,2020-07-20,Ola,loss,113
16,1.8,10.0,0.9049150204529012,2020-07-21,Ola,loss,113
17,1.8,8.695868642756803,0.99,2020-07-22,Ola,loss,101
18,1.8,10.0,0.47571171085064184,2020-07-23,Ola,loss,102
19,1.8,7.739822078485855,-0.08731422421805116,2020-07-24,Ola,loss,90
20,1.8,3.922590920098153,-0.99,2020-07-25,Ola,loss,84
21,1.8,3.579681469885258,-0.99,2020-07-26,Ola,loss,84
22,0.2499723811062272,1.4307454570852112,-0.99,2020-07-27,Ola,loss,90
23,0.3126829090744183,1.3424359031943476,-0.99,2020-07-28,Ola,loss,95
24,0.25535883638189627,0.9758076127626764,-0.99,2020-07-29,Ola,loss,95
25,0.2,0.9139434255229976,-0.99,2020-07-30,Ola,loss,95
26,0.2,0.959107616110937,-0.99,2020-07-31,Ola,loss,95
27,0.2,0.7696279077002793,-0.9470469925011094,2020-08-01,Ola,loss,95
28,0.3020053177907041,0.6659741582018628,-0.6450850336875386,2020-08-02,Ola,loss,95
29,0.24638737408887812,1.0290801267033212,-0.5032903644416359,2020-08-03,Ola,loss,101
30,0.2,1.181223215457486,-0.3506912680774083,2020-08-04,Ola,loss,107
31,0.2,1.1626803720575256,-0.11372748654148568,2020-08-05,Ola,loss,107
32,0.2,1.3663205026448493,0.03146598811594982,2020-08-07,Ola,loss,107
33,0.2,1.2065648550450505,-0.24540484732026982,2020-08-08,Ola,loss,101
34,0.2,1.2859971173791844,-0.18729378464459834,2020-08-09,Ola,loss,101
35,0.2,1.4134366831546552,-0.24840476162441452,2020-08-10,Ola,loss,102
