distortion,precision,risk_aversion,date,monkey,condition,n
0.2,10.0,0.99,2020-06-25,Ola,gain,46
1.8,2.298505031242591,0.09540483848574946,2020-06-26,Ola,gain,13
1.8,0.6416666667033165,0.9297593667065814,2020-06-27,Ola,gain,18
0.2,0.4878687055265428,0.00473406804909572,2020-06-28,Ola,gain,12
1.1922379558886578,0.9174171938739086,-0.19295298879891565,2020-06-29,Ola,gain,23
0.2,3.9021034398397267,-0.99,2020-06-30,Ola,gain,18
1.8,1.1915850390416245,0.3627235123030131,2020-07-01,Ola,gain,12
0.21877164978090435,0.1,0.33504579584025634,2020-07-02,Ola,gain,10
0.2,0.1,0.311079817161381,2020-07-03,Ola,gain,8
0.2,2.2623307937788955,-0.99,2020-07-04,Ola,gain,12
1.014319572558904,7.786264847080075,0.99,2020-07-05,Ola,gain,12
0.9303781064756904,0.1,0.22151533538037127,2020-07-16,Ola,gain,6
0.7043263163470858,10.0,0.99,2020-07-17,Ola,gain,18
0.8267060102476352,0.3969791971621403,-0.7350664027913569,2020-07-18,Ola,gain,12
1.8,1.3220022205392639,-0.3278407313641808,2020-07-19,Ola,gain,24
0.2,0.3047310573294578,-0.5213762375852109,2020-07-20,Ola,gain,12
0.38131206894307496,0.1,0.19243960965373919,2020-07-21,Ola,gain,6
1.8,0.3641303550221595,-0.834906967883914,2020-07-22,Ola,gain,6
1.8,0.40200423386858547,0.99,2020-07-23,Ola,gain,12
1.8,2.453472031474565,0.99,2020-07-24,Ola,gain,5
1.8,2.1190173797200558,0.99,2020-07-25,Ola,gain,12
1.2726111163169649,0.4337595798270857,-0.99,2020-07-26,Ola,gain,6
0.2,10.0,0.99,2020-07-27,Ola,gain,6
0.2,3.352533623289813,-0.99,2020-07-28,Ola,gain,11
1.8,5.061781795700688,-0.99,2020-07-29,Ola,gain,12
1.8,10.0,0.99,2020-07-30,Ola,gain,5
0.2,1.7066200395831155,0.99,2020-07-31,Ola,gain,5
1.8,0.5342622812734543,0.8962460640117166,2020-08-01,Ola,gain,12
1.8,10.0,0.99,2020-08-02,Ola,gain,18
0.2512338206710781,0.1,0.7378796095102241,2020-08-03,Ola,gain,6
0.6531808486223939,10.0,0.99,2020-08-04,Ola,gain,12
0.9261954318730579,0.1,-0.99,2020-08-05,Ola,gain,6
0.2,0.16064503609025402,0.04164590914350121,2020-08-07,Ola,gain,6
0.2,2.4850365534905583,0.99,2020-08-08,Ola,gain,12
0.5542131367875675,0.49465887508618533,0.626283360669732,2020-08-09,Ola,gain,18
0.2,10.0,0.99,2020-08-10,Ola,gain,12
1.8,0.18279679807855032,0.6515167316315646,2020-08-18,Ola,gain,6
1.103537282935503,0.811035577342142,-0.99,2020-08-19,Ola,gain,12
0.2,10.0,0.99,2020-08-21,Ola,gain,12
0.2,10.0,0.99,2020-08-22,Ola,gain,6
1.8,1.369103937009364,0.3557729873277786,2020-08-23,Ola,gain,16
1.4841556635807966,0.37656710740466115,0.3229794240858238,2020-08-24,Ola,gain,14
0.2,10.0,0.99,2020-08-25,Ola,gain,12
0.2,0.23078224310425274,0.693474900715832,2020-08-26,Ola,gain,6
0.2,0.8160354772770068,0.03717276330769198,2020-08-27,Ola,gain,18
1.573275111562997,0.9533632914867233,0.7527330830421167,2020-08-28,Ola,gain,12
0.490279120827127,0.1,0.41710760233415395,2020-08-29,Ola,gain,6
1.8,7.921801012071447,0.99,2020-08-30,Ola,gain,6
0.8060062565549532,0.21726316091455783,0.34658618392989327,2020-08-31,Ola,gain,6
1.8,0.8755404877269598,0.9422093204128809,2020-09-01,Ola,gain,6
0.5184106697139599,0.3467181975154584,0.5061464865676664,2020-09-04,Ola,gain,4
1.8,1.5661781676126434,0.99,2020-09-05,Ola,gain,14
0.2,0.5572592496342783,0.99,2020-09-06,Ola,gain,9
