,distortion,precision,risk_aversion,loc_bias,date_begin,date_end,monkey,condition,n
0,1.327775421431912,0.2856837141110156,0.20600361413604087,0.051841613116157724,2020-02-22,2020-06-22,Ala,gain,8326
0,1.051529467157979,0.23133036912094995,-0.5825924920704907,-0.07169409383348521,2020-02-22,2020-06-22,Ala,loss,8285
0,0.7681593527505429,0.44727592827091267,0.07558358709755253,-0.9362139827564706,2020-02-22,2020-06-22,Alv,gain,9996
0,0.4622131281571543,0.2295961493873237,-0.3986605696920334,-0.675574714920218,2020-02-22,2020-06-22,Alv,loss,9988
0,0.9155093236969272,0.49280347219423,-0.10914122316121994,-0.1172834159442161,2020-02-22,2020-06-22,Bar,gain,10361
0,0.7699585963504393,0.189979067905256,-0.6406817224728456,-0.12136855944313511,2020-02-22,2020-06-22,Bar,loss,10365
0,0.25,1.6125886889529137,0.08375320068124706,-10.0,2020-02-23,2020-06-22,Ola,gain,5235
0,0.25,0.33019971593906905,-0.903815405175226,-1.570219396774808,2020-02-23,2020-06-22,Ola,loss,5237
0,0.6104205000480211,0.7045558845217231,0.75,2.518428416152532,2020-05-20,2020-06-18,Yin,gain,389
0,0.8887654615189776,2.4776398798438213,0.5719409168984775,10.0,2020-05-20,2020-06-19,Yin,loss,382
0,0.6746356560260195,0.31559775257974526,0.6504981305901858,-0.15467642773568605,2020-02-22,2020-06-22,Abr,gain,6299
0,0.6109125797351685,0.4863837404951076,-0.38975882106008375,0.044905940684908226,2020-02-22,2020-06-22,Abr,loss,6302
0,4.0,4.0754826447018315,-0.012648532114781275,2.841583915112915,2020-02-22,2020-06-22,Nem,gain,5008
0,3.146036570449859,4.364985284228846,0.009900241714146281,2.918729747131294,2020-02-22,2020-06-22,Nem,loss,5001
0,0.6826518727595949,0.2939905882953987,0.5719629286237027,0.23486514739554099,2020-02-23,2020-06-22,Ces,gain,5636
0,0.8966781115273805,0.45658249461413086,-0.22354795991757065,0.2075270920617308,2020-02-23,2020-06-22,Ces,loss,5632
0,0.48359554482917705,0.2747976253332132,0.4397498998332879,0.4153226485590641,2020-02-23,2020-06-22,Anu,gain,3494
0,0.556572275725286,3.342894494315603,-1.9325730467876165,5.533494290821391,2020-02-23,2020-06-22,Anu,loss,3480
0,0.9752787440525302,0.33728950847833217,0.7306956987017684,0.47800161916789935,2020-02-23,2020-06-22,Yoh,gain,2851
0,0.8015981312053857,0.3715076743999835,-0.6579458902929478,-0.1565787485154714,2020-02-23,2020-06-22,Yoh,loss,2840
0,4.0,3.5079921229122726,-0.01631849027567313,5.928024801501655,2020-02-26,2020-06-22,Oli,gain,2034
0,0.5954549524079402,0.338832463798926,-0.6087650594801851,0.05409806867726641,2020-02-26,2020-06-22,Oli,loss,2032
0,0.7013809439513513,0.3748533751634269,0.3867224287115036,0.15346644519307445,2020-03-03,2020-06-22,Pac,gain,2450
0,3.9834035232051574,4.907822929160847,-0.9530342966963048,-3.8137284546093966,2020-03-03,2020-06-22,Pac,loss,2444
0,0.933118613607045,0.460452107080418,0.5689488473736416,-1.6594593911761448,2020-04-19,2020-06-04,Ner,gain,503
0,0.4668170725989621,2.279537604000585,0.75,-7.648688759401395,2020-04-19,2020-06-04,Ner,loss,501
0,0.48402881655420354,0.4566542518191438,0.5690635359803606,0.49046277740450633,2020-05-20,2020-06-22,Dor,gain,1077
0,0.485292203325193,0.5929277700603497,-0.7938769796716547,0.38516828989150836,2020-05-20,2020-06-22,Dor,loss,1059
