,distortion,precision,risk_aversion,date,monkey,condition,n
0,0.2,4.270037747527104,0.99,2020-06-25,Ola,gain,184
1,0.2,2.771034492237747,0.37104399909849406,2020-06-26,Ola,gain,190
2,0.2,3.808867257996647,0.4306763377598088,2020-06-27,Ola,gain,208
3,0.2,3.7226600484767873,0.08500671906436418,2020-06-28,Ola,gain,220
4,0.2,4.670819089856131,0.13259223495795294,2020-06-29,Ola,gain,244
5,0.2,3.421462395562647,0.026694923079586614,2020-06-30,Ola,gain,256
6,0.2,2.9256245656145494,0.11747275574334348,2020-07-01,Ola,gain,262
7,0.2,3.6316355813466017,-0.03918526283077994,2020-07-02,Ola,gain,268
8,0.2,4.306862197572004,0.41530521452454106,2020-07-03,Ola,gain,280
9,0.2,5.504642056243352,0.6071930073786326,2020-07-04,Ola,gain,285
10,0.2,8.817838908615107,0.99,2020-07-05,Ola,gain,297
11,0.2,10.0,0.3209440613238837,2020-07-16,Ola,gain,257
12,0.2,10.0,0.1521220241341255,2020-07-17,Ola,gain,250
13,0.2,10.0,-0.6602023729739502,2020-07-18,Ola,gain,243
14,0.2,10.0,-0.5954459016418997,2020-07-19,Ola,gain,243
15,0.2,10.0,-0.4133201024343164,2020-07-20,Ola,gain,225
16,0.2,10.0,0.99,2020-07-21,Ola,gain,212
17,0.2,10.0,0.99,2020-07-22,Ola,gain,212
18,0.2,10.0,0.99,2020-07-23,Ola,gain,220
19,0.2,10.0,0.99,2020-07-24,Ola,gain,218
20,1.8,10.0,0.99,2020-07-25,Ola,gain,218
21,1.8,10.0,0.8683356671508378,2020-07-26,Ola,gain,212
22,0.2,10.0,0.99,2020-07-27,Ola,gain,212
23,0.2,10.0,0.99,2020-07-28,Ola,gain,206
24,1.8,10.0,0.99,2020-07-29,Ola,gain,212
25,0.2,10.0,0.99,2020-07-30,Ola,gain,200
26,1.8,10.0,0.99,2020-07-31,Ola,gain,194
27,1.8,10.0,0.99,2020-08-01,Ola,gain,200
28,1.8,10.0,0.99,2020-08-02,Ola,gain,206
29,1.8,10.0,0.99,2020-08-03,Ola,gain,200
30,1.8,10.0,0.99,2020-08-04,Ola,gain,211
31,1.8,10.0,0.99,2020-08-05,Ola,gain,213
32,0.2,10.0,0.99,2020-08-07,Ola,gain,219
33,0.2,10.0,0.99,2020-08-08,Ola,gain,219
34,0.2,10.0,0.99,2020-08-09,Ola,gain,226
35,0.2,10.0,0.99,2020-08-10,Ola,gain,226
36,0.6765862912652595,10.0,0.99,2020-08-18,Ola,gain,227
37,1.8,10.0,0.99,2020-08-19,Ola,gain,228
38,0.9699905003068293,10.0,0.99,2020-08-21,Ola,gain,222
39,1.1356802171275333,10.0,0.99,2020-08-22,Ola,gain,210
40,1.5438558374018436,10.0,0.99,2020-08-23,Ola,gain,208
41,1.8,10.0,0.99,2020-08-24,Ola,gain,210
42,0.2050059127259095,10.0,0.99,2020-08-25,Ola,gain,213
43,0.6771003982770284,5.83085480866494,0.99,2020-08-26,Ola,gain,216
44,0.6930731619963859,8.790098408056878,0.99,2020-08-27,Ola,gain,210
45,0.3861905817116334,10.0,0.99,2020-08-28,Ola,gain,197
46,0.7845519764094825,10.0,0.99,2020-08-29,Ola,gain,186
47,0.2,10.0,0.99,2020-08-30,Ola,gain,192
48,0.2,6.8960421989820615,0.99,2020-08-31,Ola,gain,186
49,0.2,4.8419336607295165,0.99,2020-09-01,Ola,gain,180
50,0.2,6.148743176668755,0.99,2020-09-04,Ola,gain,183
51,0.2,5.734230707424557,0.99,2020-09-05,Ola,gain,176
52,0.2,3.0936034770577665,0.99,2020-09-06,Ola,gain,174
53,0.2,2.506023518264347,0.9818466448820411,2020-09-07,Ola,gain,168
54,0.2,3.1513390679380477,0.9276826392348162,2020-09-10,Ola,gain,168
55,0.2,4.476061936851003,0.99,2020-09-11,Ola,gain,156
56,0.2,5.021723617085688,0.99,2020-09-12,Ola,gain,149
57,0.2,9.913720613405967,0.99,2020-09-13,Ola,gain,149
58,0.2,10.0,0.99,2020-09-14,Ola,gain,149
59,0.2,10.0,0.99,2020-09-17,Ola,gain,149
60,0.2,10.0,-0.30419235335206085,2020-09-18,Ola,gain,149
61,0.2,10.0,0.99,2020-09-19,Ola,gain,151
62,0.2,10.0,-0.9267883175524242,2020-09-20,Ola,gain,143
63,0.2,10.0,-0.99,2020-09-22,Ola,gain,146
64,0.5472501235858488,7.2055841610119105,-0.99,2020-09-23,Ola,gain,143
65,1.0670487835485563,8.813141891173194,-0.99,2020-09-27,Ola,gain,143
66,0.8446276812420798,6.449058344255508,-0.99,2020-09-28,Ola,gain,144
67,0.744343042082432,6.708206405457341,-0.99,2020-09-30,Ola,gain,148
68,0.9860027820714555,8.045635249156229,-0.99,2020-10-01,Ola,gain,142
69,0.6776980219879594,8.447853341376987,-0.99,2020-10-02,Ola,gain,148
70,0.451861667637571,8.367663258490918,-0.99,2020-10-03,Ola,gain,154
71,0.2,10.0,-0.932315324061653,2020-10-05,Ola,gain,151
72,0.2,10.0,-0.961568133082169,2020-10-07,Ola,gain,148
73,0.2,8.782250057394712,-0.99,2020-10-08,Ola,gain,142
74,0.2,9.553406515666735,-0.99,2020-10-11,Ola,gain,142
75,0.2,10.0,-0.9851602219537693,2020-10-12,Ola,gain,141
76,0.2,10.0,-0.99,2020-10-14,Ola,gain,135
77,0.2,10.0,-0.9092973100549774,2020-10-16,Ola,gain,130
78,0.2,10.0,-0.779115647786936,2020-10-17,Ola,gain,124
79,0.2,10.0,-0.8006531995729088,2020-10-18,Ola,gain,118
80,0.2,10.0,-0.8234191070841109,2020-10-20,Ola,gain,112
81,0.2,10.0,-0.8214617575093535,2020-10-21,Ola,gain,106
82,0.2,9.418849072720064,-0.99,2020-10-22,Ola,gain,100
83,0.2,8.498463053331552,-0.8881712511732139,2020-10-23,Ola,gain,94
84,0.2,10.0,-0.6263076388081275,2020-10-24,Ola,gain,82
85,0.2,5.787227737145987,-0.416412108493712,2020-10-25,Ola,gain,76
0,0.6397980532765496,3.0955449091770637,0.07162714201120093,2020-06-25,Ola,loss,188
