,Parameter,Used to simulate,Recovered
0,distortion,1.360980359913549,0.2
1,precision,8.66430277774426,5.813113911141482
2,risk_aversion,0.7624916518670404,0.99
3,distortion,1.0558715702288568,1.231585355245891
4,precision,3.087508147462639,3.1908983875971413
5,risk_aversion,0.356768707820071,-0.06713541717218387
6,distortion,1.738321450697011,1.8
7,precision,9.703094226681392,10.0
8,risk_aversion,0.31376227215840347,0.99
9,distortion,0.8297252411738327,0.9358886264628228
10,precision,7.873048711599289,3.4880650076325868
11,risk_aversion,0.2612503449775372,0.2874373590633495
12,distortion,1.6966268688762827,1.765268856478524
13,precision,0.15172200791566495,0.1529605741271512
14,risk_aversion,-0.7479921270173149,-0.7578659052805241
15,distortion,0.33410099453711606,0.36658870906426433
16,precision,3.967095820398118,1.6008014034108518
17,risk_aversion,-0.90639830758678,-0.337364884477885
18,distortion,0.5815591273668266,1.1682476663959513
19,precision,3.9407794488105483,2.7699386360551106
20,risk_aversion,0.7091096200627098,0.713607552971201
21,distortion,1.5686836563726807,1.8
22,precision,9.374907448253111,4.8505604204569535
23,risk_aversion,0.8693119236285411,0.99
24,distortion,0.7402951029700122,0.903451452387908
25,precision,0.5821235677563787,0.6691821290952037
26,risk_aversion,-0.19363314155041955,-0.13403054721446575
27,distortion,1.5737310397327915,0.36986243392245616
28,precision,6.822445779121568,4.32155776661282
29,risk_aversion,0.3956474926268252,-0.24091671510131624
30,distortion,1.0288469033639283,0.6916677422357773
31,precision,4.681623425526681,2.034576410088044
32,risk_aversion,-0.827240939977684,-0.383762867719298
33,distortion,1.6894360684657357,1.8
34,precision,3.4899563153059,3.2498871058084804
35,risk_aversion,0.0493098030319814,0.3765091304964127
36,distortion,1.4894055286800627,0.6990106786245893
37,precision,9.407691134697687,5.2785186888418005
38,risk_aversion,0.6782341214969847,0.99
39,distortion,0.2563279124923716,0.2
40,precision,2.2009523336200707,1.946928271484743
41,risk_aversion,-0.9867571211814226,-0.8516407352357503
42,distortion,0.4789468201109317,0.8594699639733652
43,precision,8.448294971366899,9.668750322989734
44,risk_aversion,0.9316827325559467,-0.5098538033659352
45,distortion,0.45842435827904016,1.0229949098079707
46,precision,6.508272599530796,10.0
47,risk_aversion,-0.1174195181153459,-0.06942383517424215
48,distortion,1.7984912294045292,0.9337506232356481
49,precision,7.46742295694567,7.078006674891688
50,risk_aversion,-0.7616957995948419,-0.99
51,distortion,1.420616202176691,0.6516230247742235
52,precision,5.577607536249384,1.9823055151441626
53,risk_aversion,0.3759247298622439,0.11134915701444842
54,distortion,0.34171798646939067,0.31193674039791736
55,precision,9.1665200823494,2.3315358800949135
56,risk_aversion,0.7872922521528349,0.8936796882169795
57,distortion,0.9759316595388374,0.8349513593032599
58,precision,0.38755468609179333,0.34939767282160916
59,risk_aversion,0.1116946108307253,0.1381063401519173
60,distortion,0.6893327481472704,0.6334225323374695
61,precision,3.3974402513743054,2.1828618449829262
62,risk_aversion,0.3442557751921902,0.745530773875431
63,distortion,0.8454175121046557,0.7266338175265371
64,precision,0.43083240676657064,0.47918661406953245
65,risk_aversion,0.34398516182618777,0.394436374467612
66,distortion,1.2389302818784753,1.8
67,precision,2.5325498078036226,8.068515580739993
68,risk_aversion,0.1376129668195496,-0.6689176138301189
69,distortion,1.314436340642398,0.46374738070903215
70,precision,7.025901691575413,7.425651422162959
71,risk_aversion,0.02070805567665568,-0.542595002677205
72,distortion,0.9599758947990555,0.2
73,precision,5.631616215199252,4.694794087532686
74,risk_aversion,0.45738816139593963,0.28368612780639263
75,distortion,0.6798408343233318,0.7319297429737854
76,precision,0.9676187212404859,1.7329057309525635
77,risk_aversion,0.23080148209726103,0.27937349767694775
78,distortion,0.9748798905915215,0.45918437505606113
79,precision,9.873524822945964,10.0
80,risk_aversion,-0.05032488234369914,-0.10676421569775385
81,distortion,0.5469543308199146,0.2
82,precision,7.886975843060737,2.5091086421632416
83,risk_aversion,-0.6111542972640729,0.08248365249114532
84,distortion,1.2557441752994314,0.863427375162132
85,precision,6.789393066017409,5.385946809711138
86,risk_aversion,-0.9720311111802149,-0.99
87,distortion,0.6182195917674445,0.6188235690246787
88,precision,2.069683380032995,2.074474074982795
89,risk_aversion,-0.16114056367046958,-0.13296040317435154
